Equipo_Local,Equipo_Visitante,Goles_Local,Goles_Visitante,Ganador,Fecha,Pais,Localidad
1,2,2,1,Local,2024-10-26,2,Madrid
11,12,1,0,Local,2024-10-05,1,Manchester
27,28,3,2,Local,2024-11-02,3,Munich
32,33,1,1,Empate,2024-09-22,4,Milán
39,42,3,0,Local,2024-10-27,5,Paris
3,1,1,2,Visitante,2024-11-10,2,Madrid
13,11,2,0,Local,2024-11-10,1,Liverpool
26,27,2,1,Local,2024-10-19,3,Leverkusen
35,34,0,0,Empate,2024-09-21,4,Nápoles
6,7,2,2,Empate,2024-10-20,2,Sevilla
12,13,1,1,Empate,2024-10-27,1,Londres
2,5,4,1,Local,2024-11-23,2,Barcelona
16,18,3,1,Local,2024-11-03,1,Londres
29,30,2,0,Local,2024-10-26,3,Leipzig
46,45,1,0,Local,2024-11-10,6,Lisboa
